,Party,Votes
0,PS,36025
1,PPD/PSD.CDS-PP.PPM,28520
2,CH,4986
3,B.E.,3589
4,IL,3454
5,PCP-PEV,1250
6,PAN,1156
7,L,773
8,ADN,484
9,PCTP/MRPP,321
10,R.I.R.,201
11,MPT,150
12,MAS,87
13,VP,67
14,E,55
