,Party,Votes
0,PS,34685
1,PPD/PSD,25776
2,CH,6116
3,B.E.,2359
4,CDS-PP,1699
5,IL,1487
6,PCP-PEV,1360
7,PAN,504
8,L,413
9,R.I.R.,341
10,E,120
11,VP,117
12,MPT,69
13,PTP,66
14,MAS,65
