,Party,Votes
0,PS,207793
1,PPD/PSD,172007
2,CH,28746
3,IL,21432
4,B.E.,18558
5,PCP-PEV,12993
6,CDS-PP,8215
7,PAN,5907
8,L,3925
9,R.I.R.,1767
10,MAS,549
11,E,494
12,JPP,481
13,PTP,460
14,MPT,453
15,VP,357
16,A,286
