,Party,Votes
0,PS,418869
1,PPD/PSD,318343
2,IL,50359
3,B.E.,47118
4,CH,42998
5,PCP-PEV,32277
6,PAN,16707
7,CDS-PP,14347
8,L,11433
9,R.I.R.,7212
10,ADN,1430
11,E,1007
12,NC,922
13,VP,893
14,MAS,707
15,MPT,706
16,PTP,421
17,A,372
18,JPP,367
