,Party,Votes
0,PS,26495
1,PPD/PSD,26480
2,CH,5619
3,B.E.,1371
4,CDS-PP,1368
5,IL,1049
6,PCP-PEV,892
7,PAN,397
8,R.I.R.,249
9,L,230
10,MPT,91
11,E,64
12,MAS,54
