,Party,Votes
0,PS,482606
1,PPD/PSD,285522
2,IL,93341
3,CH,91889
4,PCP-PEV,59995
5,B.E.,55786
6,L,28834
7,PAN,23577
8,CDS-PP,19524
9,PCTP/MRPP,4916
10,ADN,3249
11,R.I.R.,3035
12,MPT,1485
13,MAS,1452
14,VP,1369
15,JPP,971
16,NC,879
17,E,816
18,A,749
19,PTP,555
