,Party,Votes
0,PS,25271
1,PPD/PSD,12432
2,CH,6136
3,PCP-PEV,4058
4,B.E.,1550
5,IL,1115
6,CDS-PP,635
7,PAN,345
8,PCTP/MRPP,304
9,L,295
10,R.I.R.,122
11,MPT,50
12,MAS,48
13,E,43
14,VP,35
15,PTP,16
