,Party,Votes
0,PS,29533
1,PCP-PEV,12442
2,PPD/PSD,10767
3,CH,6932
4,B.E.,2511
5,IL,1388
6,PAN,597
7,CDS-PP,515
8,L,491
9,PCTP/MRPP,415
10,R.I.R.,156
11,VP,103
12,MPT,89
13,E,78
14,MAS,62
15,PTP,45
