,Party,Votes
0,PS,84253
1,PPD/PSD,81778
2,CH,18918
3,IL,12400
4,B.E.,10711
5,PCP-PEV,7340
6,CDS-PP,4834
7,PAN,3090
8,L,2469
9,R.I.R.,1199
10,ADN,783
11,NC,376
12,MPT,353
13,MAS,264
14,VP,209
15,E,173
16,PTP,137
