,Party,Votes
0,PS,198104
1,PPD/PSD,69963
2,PCP-PEV,43529
3,CH,39135
4,B.E.,24931
5,IL,22217
6,PAN,8639
7,L,6140
8,CDS-PP,4869
9,PCTP/MRPP,2525
10,R.I.R.,1429
11,ADN,1307
12,VP,514
13,MPT,492
14,MAS,460
15,NC,369
16,E,313
17,PTP,225
18,JPP,203
