,Party,Votes
0,PS,97310
1,PPD/PSD,62718
2,CH,13180
3,B.E.,10957
4,IL,7779
5,PCP-PEV,7294
6,CDS-PP,3244
7,PAN,2571
8,L,2195
9,R.I.R.,706
10,PCTP/MRPP,542
11,A,322
12,VP,255
13,MAS,242
14,MPT,203
15,E,120
