,Party,Votes
0,PS,43489
1,PPD/PSD,42135
2,CH,7573
3,B.E.,2443
4,IL,1898
5,PCP-PEV,1775
6,CDS-PP,1667
7,PAN,812
8,L,574
9,R.I.R.,370
10,MAS,208
11,NC,144
12,E,78
13,VP,76
14,MPT,62
