,Party,Votes
0,PS,77740
1,PPD/PSD,47471
2,CH,23988
3,B.E.,11226
4,PCP-PEV,9379
5,IL,9042
6,PAN,4213
7,L,2111
8,CDS-PP,2109
9,ADN,1152
10,R.I.R.,759
11,MPT,383
12,MAS,286
13,PTP,250
14,E,220
15,VP,210
