,Party,Votes
0,PS,89870
1,PPD/PSD,58630
2,CH,23813
3,PCP-PEV,11854
4,B.E.,10012
5,IL,8219
6,CDS-PP,4136
7,PAN,2527
8,L,1932
9,R.I.R.,901
10,MAS,383
11,MPT,314
12,VP,311
13,E,284
14,PTP,162
