,Party,Votes
0,PS,45622
1,PPD/PSD,26237
2,CH,7958
3,B.E.,4069
4,PCP-PEV,2784
5,IL,2443
6,CDS-PP,1497
7,PAN,935
8,L,774
9,PCTP/MRPP,313
10,R.I.R.,239
11,ADN,182
12,MPT,154
13,MAS,91
14,NC,78
15,E,59
16,PTP,43
