,Party,Votes
0,PS,53435
1,PPD/PSD,43414
2,CH,7702
3,B.E.,4418
4,CDS-PP,4272
5,PCP-PEV,3815
6,IL,3651
7,PAN,1251
8,L,919
9,R.I.R.,556
10,MPT,190
11,A,173
12,MAS,157
13,E,133
14,VP,130
