,Party,Votes
0,PS,76642
1,PPD/PSD,67888
2,CH,14373
3,B.E.,5218
4,IL,4658
5,CDS-PP,3788
6,PCP-PEV,2982
7,PAN,1671
8,L,1180
9,R.I.R.,682
10,VP,289
11,NC,229
12,ADN,188
13,E,176
14,MPT,156
15,MAS,145
16,PTP,128
