,Party,Votes
0,PPD/PSD.CDS-PP,50634
1,PS,40004
2,JPP,8721
3,CH,7727
4,IL,4241
5,B.E.,4109
6,PCP-PEV,2581
7,PAN,2084
8,L,913
9,PTP,689
10,R.I.R.,554
11,ADN,550
12,MPT,462
13,PPM,260
14,MAS,244
15,E,234
