,Party,Votes
0,PS,34693
1,PPD/PSD,16902
2,PCP-PEV,11494
3,CH,7222
4,B.E.,2628
5,IL,1947
6,CDS-PP,896
7,PAN,665
8,L,496
9,R.I.R.,263
10,VP,96
11,MAS,77
12,MPT,63
13,E,56
14,PTP,42
