,Party,Votes
0,PPD/PSD.CDS-PP.PPM,42343
1,PS,31015
2,CH,16744
3,B.E.,3622
4,IL,2882
5,L,1816
6,PAN,1654
7,PCP-PEV,1160
8,ADN,829
9,JPP,213
10,R.I.R.,125
11,VP,115
12,E,64
