,Party,Votes
0,PPD/PSD.CDS-PP.PPM,29077
1,PS,21538
2,CH,13216
3,ADN,1587
4,B.E.,1404
5,IL,1245
6,PCP-PEV,773
7,L,727
8,PAN,598
9,ND,316
10,R.I.R.,169
11,E,109
12,MPT.A,52
