,Party,Votes
0,PS,79086
1,PPD/PSD.CDS-PP.PPM,74019
2,CH,37412
3,B.E.,12334
4,IL,9587
5,L,6880
6,PCP-PEV,6816
7,PAN,3835
8,ADN,2421
9,R.I.R.,730
10,ND,577
11,VP,427
12,E,187
13,JPP,185
14,MPT.A,140
