,Party,Votes
0,PPD/PSD.CDS-PP.PPM,29033
1,PS,27133
2,CH,15821
3,B.E.,2301
4,ADN,2181
5,IL,1913
6,PCP-PEV,1332
7,L,1151
8,PAN,821
9,ND,292
10,R.I.R.,289
11,E,165
12,VP,95
13,MPT.A,80
