,Party,Votes
0,PS,365838
1,PPD/PSD.CDS-PP.PPM,356698
2,CH,224526
3,IL,86847
4,L,72102
5,B.E.,65438
6,PCP-PEV,49257
7,PAN,32829
8,ADN,19074
9,PCTP/MRPP,4464
10,VP,2963
11,R.I.R.,2854
12,ND,2365
13,PTP,1331
14,MPT.A,1174
15,E,1000
16,JPP,848
