,Party,Votes
0,PS,24408
1,CH,16595
2,PPD/PSD.CDS-PP.PPM,12890
3,PCP-PEV,11570
4,B.E.,3393
5,IL,1708
6,L,1369
7,PAN,943
8,ADN,861
9,PCTP/MRPP,624
10,R.I.R.,181
11,VP,147
12,ND,106
13,E,95
