,Party,Votes
0,PPD/PSD.CDS-PP.PPM,46040
1,PS,34654
2,CH,20032
3,ADN,2958
4,B.E.,2865
5,IL,2378
6,PCP-PEV,1599
7,L,1592
8,PAN,1062
9,R.I.R.,319
10,ND,278
11,VP,122
12,E,117
