,Party,Votes
0,PPD/PSD.CDS-PP.PPM,96311
1,PS,61535
2,CH,53764
3,IL,15446
4,B.E.,11736
5,L,7197
6,PCP-PEV,6600
7,PAN,4645
8,ADN,4560
9,R.I.R.,1141
10,ND,741
11,VP,552
12,E,340
13,MPT.A,306
