,Party,Votes
0,PPD/PSD.CDS-PP.PPM,76927
1,PS,58077
2,CH,41159
3,ADN,6615
4,IL,5948
5,B.E.,5846
6,L,3566
7,PCP-PEV,2905
8,PAN,2554
9,R.I.R.,831
10,ND,544
11,VP,342
12,MPT.A,179
13,E,164
