,Party,Votes
0,PS,157166
1,CH,102077
2,PPD/PSD.CDS-PP.PPM,86297
3,PCP-PEV,38841
4,B.E.,30161
5,IL,26941
6,L,21552
7,PAN,12856
8,ADN,7661
9,PCTP/MRPP,2363
10,R.I.R.,1323
11,ND,1235
12,VP,965
13,E,558
14,MPT.A,438
15,JPP,430
16,PTP,393
