,Party,Votes
0,PPD/PSD.CDS-PP.PPM,148861
1,PS,117348
2,CH,73110
3,IL,21671
4,B.E.,17358
5,L,9510
6,PAN,7300
7,PCP-PEV,5850
8,ADN,5753
9,R.I.R.,1933
10,PCTP/MRPP,1215
11,ND,1076
12,VP,610
13,E,362
14,MPT.A,206
