,Party,Votes
0,PS,37052
1,PPD/PSD.CDS-PP.PPM,30803
2,CH,21131
3,B.E.,4451
4,IL,2959
5,PCP-PEV,2372
6,L,2171
7,ADN,1491
8,PAN,1427
9,PCTP/MRPP,441
10,R.I.R.,367
11,ND,315
12,VP,168
13,E,100
