,Party,Votes
0,PS,20658
1,CH,14915
2,PPD/PSD.CDS-PP.PPM,14132
3,PCP-PEV,3604
4,B.E.,1894
5,IL,1146
6,L,873
7,ADN,631
8,PAN,506
9,PCTP/MRPP,303
10,R.I.R.,176
11,ND,121
12,E,54
13,VP,53
14,MPT.A,31
