,Party,Votes
0,PPD/PSD.CDS-PP.PPM,49613
1,PS,40237
2,CH,26635
3,IL,5106
4,B.E.,4926
5,PCP-PEV,3106
6,L,2813
7,ADN,2263
8,PAN,2057
9,ND,706
10,R.I.R.,624
11,VP,255
12,MPT.A,204
13,E,147
