,Party,Votes
0,PS,29309
1,PPD/PSD.CDS-PP.PPM,20049
2,CH,17846
3,PCP-PEV,9771
4,B.E.,3816
5,IL,2227
6,L,1773
7,PAN,991
8,ADN,838
9,R.I.R.,273
10,ND,160
11,VP,151
12,E,81
13,MPT.A,41
