,Party,Votes
0,CH,64228
1,PS,60123
2,PPD/PSD.CDS-PP.PPM,52885
3,B.E.,13579
4,IL,10761
5,PCP-PEV,7518
6,L,6501
7,PAN,6098
8,ADN,4926
9,R.I.R.,1074
10,ND,782
11,JPP,611
12,VP,591
13,E,330
