,Party,Votes
0,PS,69915
1,PPD/PSD.CDS-PP.PPM,68493
2,CH,58554
3,B.E.,11204
4,PCP-PEV,10343
5,IL,9492
6,L,6186
7,PAN,3926
8,ADN,3505
9,R.I.R.,951
10,VP,567
11,ND,463
12,E,363
13,MPT.A,295
