,Party,Votes
0,PPD/PSD.CDS-PP.PPM,339096
1,PS,338084
2,CH,170910
3,IL,64050
4,B.E.,51909
5,L,37319
6,PCP-PEV,26343
7,PAN,23415
8,ADN,19585
9,R.I.R.,9163
10,PCTP/MRPP,3444
11,ND,1786
12,VP,1647
13,JPP,1150
14,NC,788
15,E,740
