,Party,Votes
0,PPD/PSD.CDS-PP.PPM,184468
1,PS,157099
2,CH,93826
3,IL,33930
4,B.E.,21388
5,L,12926
6,PCP-PEV,10136
7,ADN,9964
8,PAN,7935
9,ND,2616
10,R.I.R.,2234
11,PCTP/MRPP,1897
12,VP,771
13,MPT.A,673
14,JPP,590
15,NC,534
16,E,515
