,district,voters
0,aveiro,642185
1,beja,119112
2,braga,780228
3,braganca,134237
4,castelobranco,163613
5,coimbra,371791
6,evora,133414
7,faro,382622
8,guarda,141450
9,leiria,412223
10,lisboa,1915377
11,portalegre,93120
12,porto,1591947
13,santarem,377315
14,setubal,751385
15,vianadocastelo,233527
16,vilareal,208700
17,viseu,335711
18,madeira,254553
19,acores,230082
