,Party,Votes
0,PPD/PSD.CDS-PP,52992
1,PS,29723
2,CH,26296
3,JPP,14344
4,IL,5827
5,B.E.,4404
6,PAN,3127
7,PCP-PEV,2429
8,ADN,2348
9,L,1864
10,R.I.R.,725
11,PTP,719
12,PPM,451
13,NC,305
14,VP,283
15,E,239
16,MPT.A,228
